tag,reference,condition,seed,delta,low,high
B,A,clean,7,-0.00036064542619917983,-0.004099748961218039,0.0046294524801600845
B,A,clean,17,0.0008183380839746901,-0.0015353928053066846,0.003794316310697571
B,A,clean,37,0.00053384806090917,-0.0015396426655486962,0.004128134995539295
B,A,clean,mean3,0.0003305135728948934,-0.0017370854135251347,0.0033427953267790482
B,A,uniform_half_0,7,0.0006281740405372771,-0.0027870667712944414,0.005698516314074208
B,A,uniform_half_0,17,0.003848167582463091,0.001742397944876159,0.006998643538941654
B,A,uniform_half_0,37,0.0034785384596764946,0.0014104265613438666,0.007465209532619085
B,A,uniform_half_0,mean3,0.002651626694225621,0.0008926847625143101,0.005843279336926449
B,A,uniform_half_1,7,0.0017812500659843966,-0.0016487780890989707,0.007088726262403865
B,A,uniform_half_1,17,0.002999760163652776,0.0008534546695779521,0.006333950606343605
B,A,uniform_half_1,37,0.0037122391553537915,0.0020155442916981042,0.007135419317327053
B,A,uniform_half_1,mean3,0.0028310831283303215,0.0013453535860201333,0.006115242982206597
B,A,uniform_half_2,7,0.0008884523566283775,-0.0026045796742452942,0.005519934305167323
B,A,uniform_half_2,17,0.0029932890051578287,0.0007993662033523363,0.006052092000225374
B,A,uniform_half_2,37,0.0031235321835730856,0.00122298138478526,0.006546959294223878
B,A,uniform_half_2,mean3,0.0023350911817864306,0.000785490212243493,0.005371764889419655
B,A,uniform_quarter_0,7,0.011057860740930181,0.008887582509319045,0.015555731628583275
B,A,uniform_quarter_0,17,0.014500292710694529,0.010280286888442397,0.02214152203333234
B,A,uniform_quarter_0,37,0.014653743747054082,0.011111030666430058,0.02172571112847236
B,A,uniform_quarter_0,mean3,0.01340396573289293,0.010915085179690245,0.019181877919135216
B,A,uniform_quarter_1,7,0.010194385828915298,0.00829318177613284,0.014282614873883968
B,A,uniform_quarter_1,17,0.0150391112463919,0.0112526364244049,0.022383073281438005
B,A,uniform_quarter_1,37,0.014472348908531885,0.011060276281129494,0.021276337458391564
B,A,uniform_quarter_1,mean3,0.013235281994613027,0.011050386839294398,0.018867945360926636
B,A,uniform_quarter_2,7,0.010442328731227524,0.00859797627167581,0.014915542626761712
B,A,uniform_quarter_2,17,0.01428398347677673,0.009555643150782608,0.022474121303372327
B,A,uniform_quarter_2,37,0.015256977542232875,0.012073024013119781,0.022261896389142923
B,A,uniform_quarter_2,mean3,0.013327763250079042,0.010963520541783012,0.019059773630807554
B,A,central_half,7,0.019918939672521674,0.010106251518576536,0.039382490128007076
B,A,central_half,17,0.015487026549951377,0.008616265611478999,0.029888100553555917
B,A,central_half,37,0.01659664517912096,0.008855417475931163,0.03204290573779616
B,A,central_half,mean3,0.01733420380053134,0.009426593912999668,0.03374378713902709
B,A,xy_fraction6,7,-0.00040220671165014377,-0.004159570444680011,0.0046871786259296885
B,A,xy_fraction6,17,0.000752893580397318,-0.0016140627858861778,0.0036700550447219824
B,A,xy_fraction6,37,0.0006781418267428618,-0.001366660688645585,0.004213200728338766
B,A,xy_fraction6,mean3,0.0003429428984966787,-0.0017368896982356088,0.0033643784322386484
B,A,xy_fraction4,7,-0.00047919376014726733,-0.004258030779921295,0.004533133290769916
