tag,seed,condition,samples,accuracy,macro_f1,f1_class0,f1_class1,recall_class0,recall_class1,true0_pred0,true0_pred1,true1_pred0,true1_pred1
A,7,clean,80450,0.9812802983219391,0.9802176303908359,0.9756326451362372,0.9848026156454347,0.9869708973057911,0.9777969260365108,30149,398,1108,48795
A,7,uniform_half_0,80450,0.9767184586699813,0.975395778277336,0.9696910853277667,0.9811004712269054,0.9808491832258487,0.9741899284612148,29962,585,1288,48615
A,7,uniform_half_1,80450,0.9753760099440646,0.9739649842326088,0.9679039548937963,0.9800260135714214,0.9778374308442728,0.9738693064545217,29870,677,1304,48599
A,7,uniform_half_2,80450,0.9763828464885022,0.975036685872827,0.96923973578552,0.980833635960134,0.9799325629358039,0.9742099673366331,29934,613,1287,48616
A,7,uniform_quarter_0,80450,0.9610938471100062,0.958862649828436,0.9492821726026509,0.9684431270542213,0.9589157691426327,0.9624271085906659,29292,1255,1875,48028
A,7,uniform_quarter_1,80450,0.9630950901180858,0.9609688533405496,0.951858998265043,0.9700787084160561,0.9608799554784431,0.9644510350079154,29352,1195,1774,48129
A,7,uniform_quarter_2,80450,0.9623617153511498,0.9602032280129408,0.9509349580322131,0.9694714979936685,0.9605853275280715,0.9634490912369997,29343,1204,1824,48079
A,7,central_half,80450,0.9546177750155376,0.9527441876944598,0.9433347301764679,0.9621536452124516,0.9948603790879628,0.9299841692884195,30390,157,3494,46409
A,7,xy_fraction6,80450,0.981255438160348,0.980192082524668,0.9756026532923475,0.9847815117569886,0.9870363701836514,0.9777167705348376,30151,396,1112,48791
A,7,xy_fraction4,80450,0.9814170292106899,0.9803612859181086,0.9758078871142613,0.984914684721956,0.9870363701836514,0.9779772759152756,30151,396,1099,48804
A,7,kept_single,80450,0.9572902423865756,0.9547689854890248,0.9440900807081489,0.9654478902699006,0.9496840933643238,0.9619461755806265,29010,1537,1899,48004
A,7,sparse_single,97734,0.917899605050443,0.9172959226362207,0.9243618264771313,0.9102300187953101,0.9564962934061646,0.8753281404656367,49030,2230,5794,40680
A,7,sparse_context,97734,0.9508359424560542,0.9505804681744919,0.9541336947910005,0.9470272415579833,0.9749902458056965,0.9241941730860266,49978,1282,3523,42951
A,17,clean,80450,0.9826600372902424,0.9816506290333396,0.9773469089491889,0.9859543491174901,0.9851376567257014,0.9811434182313689,30093,454,941,48962
A,17,uniform_half_0,80450,0.9758856432566811,0.9744814059662947,0.9684952418071389,0.9804675701254506,0.976167872458834,0.9757128829930064,29819,728,1212,48691
A,17,uniform_half_1,80450,0.9758483530142946,0.9744389455588499,0.9684367842232655,0.9804411068944343,0.9758077716306021,0.975873193996353,29808,739,1204,48699
A,17,uniform_half_2,80450,0.9761093847110006,0.9747228524950546,0.9688027528892351,0.9806429521008742,0.9769535469931581,0.9755926497404965,29843,704,1218,48685
A,17,uniform_quarter_0,80450,0.9589310130515848,0.9564811239470961,0.946155601186402,0.96680664670779,0.9503060857039971,0.9642105685028957,29029,1518,1786,48117
A,17,uniform_quarter_1,80450,0.959477936606588,0.9570305047257237,0.9467755102040817,0.9672854992473657,0.9491930467803712,0.9657736007855239,28995,1552,1708,48195
A,17,uniform_quarter_2,80450,0.9596643878185208,0.9572268714361469,0.9470160829455466,0.9674376599267472,0.9493567289750221,0.965973989539707,29000,1547,1698,48205
A,17,central_half,80450,0.9551646985705408,0.9532827449747974,0.9439061941122499,0.9626592958373449,0.9934854486528956,0.9317075125743943,30348,199,3408,46495
A,17,xy_fraction6,80450,0.982697327532629,0.9816902030184333,0.9773959923354227,0.9859844137014439,0.9852031296035617,0.9811634571067872,30095,452,940,48963
A,17,xy_fraction4,80450,0.9827097576134245,0.9817039209531038,0.9774140646565022,0.9859937772497055,0.9853013389203522,0.9811233793559505,30098,449,942,48961
A,17,kept_single,80450,0.9547420758234928,0.9519456902134202,0.9403535212882722,0.9635378591385682,0.9395685337349003,0.9640302186241309,28701,1846,1795,48108
A,17,sparse_single,97734,0.9151779319377085,0.9144420488493233,0.9223768235360212,0.9065072741626254,0.9608661724541553,0.8647846107500968,49254,2006,6284,40190
A,17,sparse_context,97734,0.9439089774285305,0.9436224069379517,0.9476418788561823,0.939602935019721,0.9678111587982833,0.9175452941429617,49610,1650,3832,42642
A,37,clean,80450,0.9817650714729645,0.9807554344046521,0.9763474839978717,0.9851633848114324,0.9911938979277835,0.9759934272488628,30278,269,1198,48705
A,37,uniform_half_0,80450,0.9761218147917962,0.9747814749424573,0.968967578307998,0.9805953715769165,0.9817985399548237,0.9726469350540048,29991,556,1365,48538
A,37,uniform_half_1,80450,0.9749285270354258,0.9735234479054979,0.9674241323061518,0.9796227635048442,0.9804563459586866,0.9715447969059976,29950,597,1420,48483
