tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
A,7,clean,retained_N,1-2,0,0,False,,
A,7,clean,retained_N,3-4,1615,27,True,0.9331269349845202,0.9245327102803738
A,7,clean,retained_N,5-8,1566,27,True,0.9527458492975734,0.9458736884584342
A,7,clean,retained_N,9-16,3392,27,True,0.9516509433962265,0.945710945292082
A,7,clean,retained_N,17-32,37944,27,True,0.9825268817204301,0.9824611441794936
A,7,clean,retained_N,33-64,26522,27,True,0.986124726642033,0.9849947912759098
A,7,clean,retained_N,65-511,9411,23,True,0.9862926362766975,0.9711322594781189
A,7,clean,original_shape,compact,4336,26,True,0.9838560885608856,0.979266762554702
A,7,clean,original_shape,elongated,45116,27,True,0.983730827200993,0.977333739765025
A,7,clean,original_shape,intermediate,30998,27,True,0.9773533776372669,0.9770966283623881
A,7,clean,N_x_original_shape,1-2:elongated,0,0,False,,
A,7,clean,N_x_original_shape,1-2:intermediate,0,0,False,,
A,7,clean,N_x_original_shape,1-2:compact,0,0,False,,
A,7,clean,N_x_original_shape,3-4:elongated,1081,26,True,0.9333950046253469,0.9280356825847683
A,7,clean,N_x_original_shape,3-4:intermediate,484,27,True,0.9338842975206612,0.913715877437326
A,7,clean,N_x_original_shape,3-4:compact,50,14,False,0.92,0.910873440285205
A,7,clean,N_x_original_shape,5-8:elongated,932,27,True,0.9603004291845494,0.9527289426246924
A,7,clean,N_x_original_shape,5-8:intermediate,568,25,True,0.9436619718309859,0.9382608695652175
A,7,clean,N_x_original_shape,5-8:compact,66,17,False,0.9242424242424242,0.9188591099090239
A,7,clean,N_x_original_shape,9-16:elongated,2275,26,True,0.9569230769230769,0.9486533568429334
A,7,clean,N_x_original_shape,9-16:intermediate,996,27,True,0.9447791164658634,0.9422356023978868
A,7,clean,N_x_original_shape,9-16:compact,121,18,True,0.9090909090909091,0.9090909090909091
A,7,clean,N_x_original_shape,17-32:elongated,19967,27,True,0.9815195071868583,0.9787626406146648
A,7,clean,N_x_original_shape,17-32:intermediate,15866,27,True,0.9827933946804488,0.9819430735434997
A,7,clean,N_x_original_shape,17-32:compact,2111,22,True,0.9900521080056846,0.9816597073314421
A,7,clean,N_x_original_shape,33-64:elongated,14587,26,True,0.99108795502845,0.9840621232182416
A,7,clean,N_x_original_shape,33-64:intermediate,10253,25,True,0.9791280600799765,0.9785613422506124
A,7,clean,N_x_original_shape,33-64:compact,1682,21,True,0.985731272294887,0.9823065635075503
A,7,clean,N_x_original_shape,65-511:elongated,6274,20,True,0.9955371373924131,0.9805349843302147
A,7,clean,N_x_original_shape,65-511:intermediate,2831,22,True,0.966089720946662,0.9584025155384457
A,7,clean,N_x_original_shape,65-511:compact,306,14,True,0.9836601307189542,0.9819172448026852
A,7,clean,history,none,1846,27,True,0.9344528710725893,0.9232601468173709
A,7,clean,history,one_to_five,8062,27,True,0.9574547258744729,0.9479101283919136
A,7,clean,history,six,70542,27,True,0.9852286581043918,0.9845779544976774
A,7,clean,current_points,1,0,0,False,,
A,7,clean,current_points,2,0,0,False,,
A,7,clean,current_points,ge3,80450,27,True,0.9812802983219391,0.9802176303908359
A,7,clean,current_range,le20,26404,27,True,0.9834873504014543,0.9829588248377339
A,7,clean,current_range,20to40,36863,27,True,0.9863548815885848,0.9858915952621186
A,7,clean,current_range,gt40,17183,27,True,0.9670022696851539,0.9596959616782963
